Time,SolarGeneration(MW), Air_Density(kg/m³), CloudCover, Humidity(%RH), Precipitaion(mm), Temperature(°C), WindSpeed(km/h),Surface_Pressure(hPa), Direct_radiation(W/m²)
1/1/2022 10:45,1170,1.21,0.7,63,1,17,20.3,1011,489
1/1/2022 11:00,1170,1.21,0.75,58,1,17.1,21.4,1011,505
1/1/2022 11:15,1060,1.21,0.78,58,1,17.3,24.8,1011,468
1/1/2022 11:30,1130,1.21,0.76,58,1,17.1,23.2,1011,492
1/1/2022 11:45,991,1.21,0.77,57,1,17.2,22.9,1010,433
1/1/2022 12:00,957,1.21,0.8,56,1,17.3,24.9,1010,426
1/1/2022 12:15,759,1.21,0.74,56,1,17.4,28.1,1010,326
1/1/2022 12:30,707,1.21,0.66,56,1,17.5,29.6,1010,290
1/1/2022 12:45,817,1.21,0.76,56,1,17.3,31.1,1010,355
1/1/2022 13:00,718,1.21,0.6,55,0,17.5,31.6,1010,284
1/1/2022 13:15,818,1.21,0.48,55,0,17.5,31.7,1010,304
1/1/2022 13:30,813,1.21,0.42,55,0,17.4,32.8,1010,293
1/1/2022 13:45,721,1.21,0.59,55,0,17.5,32.1,1010,284
1/1/2022 14:00,884,1.21,0.39,55,0,17.4,33.4,1010,314
1/1/2022 14:15,854,1.21,0.39,58,0,16.9,33,1011,303
1/1/2022 14:30,698,1.21,0.39,58,0,17.3,32.7,1011,248
1/1/2022 14:45,809,1.21,0.39,58,0,16.7,33.4,1011,287
1/1/2022 15:00,666,1.22,0.39,60,0,16.5,32.5,1011,236
1/1/2022 15:15,171,1.22,0.37,66,0,16.3,33.4,1011,60
1/1/2022 15:30,565,1.22,0.37,66,0,16.1,33.8,1011,198
1/1/2022 15:45,584,1.22,0.39,63,0,16.4,32.8,1011,207
1/1/2022 16:00,0,1.22,0.36,66,0,15.2,34,1011,0
1/1/2022 16:15,0,1.22,0.41,67,0,14.9,33.9,1012,0
1/1/2022 16:30,0,1.22,0.43,67,0,15,33.9,1012,0
1/1/2022 16:45,0,1.22,0.44,67,0,15.2,33.5,1012,0
1/1/2022 17:00,0,1.22,0.47,69,0,14.7,33.3,1012,0
1/1/2022 17:15,0,1.22,0.3,73,0,14.7,32.3,1012,0
1/1/2022 17:30,0,1.23,0.4,73,0,14.2,31.8,1012,0
1/1/2022 17:45,0,1.23,0.3,73,0,14,33,1012,0
1/1/2022 18:00,0,1.23,0.28,73,0,14,31.7,1012,0
1/1/2022 18:15,0,1.23,0.29,76,0,13.6,31.7,1012,0
1/1/2022 18:30,0,1.23,0.29,76,0,13.7,31.6,1012,0
1/1/2022 18:45,0,1.23,0.34,76,0,13.8,31.7,1013,0
1/1/2022 19:00,0,1.23,0.34,77,0,13.4,31.6,1013,0
1/1/2022 19:15,0,1.23,0.19,81,0,12.9,31.3,1013,0
1/1/2022 19:30,0,1.23,0.24,79,0,13.3,30.9,1013,0
1/1/2022 19:45,0,1.23,0.15,81,0,13.2,30.8,1013,0
1/1/2022 20:00,0,1.23,0.1,81,0,12.8,30.6,1013,0
1/1/2022 20:15,0,1.24,0.07,83,0,12.2,30.9,1013,0
1/1/2022 20:30,0,1.23,0.09,85,0,12.7,30.7,1013,0
1/1/2022 20:45,0,1.23,0.07,84,0,12.7,30.8,1013,0
1/1/2022 21:00,0,1.24,0.04,85,0,12.1,31,1013,0
1/1/2022 21:15,0,1.24,0.05,90,0,12,30.1,1013,0
1/1/2022 21:30,0,1.24,0.05,86,0,11.8,29.1,1013,0
1/1/2022 21:45,0,1.24,0.05,90,0,11.6,29.2,1013,0
1/1/2022 22:00,0,1.24,0.05,90,0,11.4,27.6,1013,0
1/1/2022 22:15,0,1.24,0.04,93,0,11.2,26.6,1013,0
1/1/2022 22:30,0,1.24,0.05,93,0,11,26.5,1013,0
1/1/2022 22:45,0,1.24,0.05,92,0,10.7,27.5,1013,0
1/1/2022 23:00,0,1.24,0.03,93,0,10.7,26.4,1013,0
1/1/2022 23:15,0,1.24,0.03,95,0,10.3,24.7,1013,0
1/1/2022 23:30,0,1.24,0.03,94,0,10.4,16.9,1013,0
1/1/2022 23:45,0,1.24,0.03,94,0,10.5,23.5,1013,0
1/2/2022 0:00,0,1.25,0.01,95,0,10.1,12.6,1013,0
1/2/2022 0:15,0,1.25,0.01,96,0,9.9,11.4,1013,0
1/2/2022 0:30,0,1.25,0.01,96,0,10,11.7,1013,0
1/2/2022 0:45,0,1.25,0.01,96,0,10,11.8,1013,0
1/2/2022 1:00,0,1.25,0,96,0,9.8,11.1,1013,0
1/2/2022 1:15,0,1.25,0,98,0,9.1,11.4,1013,0
1/2/2022 1:30,0,1.25,0,98,0,9.5,11.2,1013,0
1/2/2022 1:45,0,1.25,0,98,0,9.7,11.6,1013,0
1/2/2022 2:00,0,1.25,0,98,0,8.9,12.2,1013,0
1/2/2022 2:15,0,1.25,0,99,0,8.6,13.5,1013,0
1/2/2022 2:30,0,1.25,0,99,0,8.8,12.6,1013,0
1/2/2022 2:45,0,1.25,0,99,0,8.6,14.1,1013,0
1/2/2022 3:00,0,1.25,0,99,0,8.4,14.2,1013,0
1/2/2022 3:15,0,1.25,0.01,99,0,8.7,14.1,1014,0
1/2/2022 3:30,0,1.25,0.01,99,0,8.5,14.1,1014,0
1/2/2022 3:45,0,1.25,0.01,99,0,8.5,13.7,1014,0
1/2/2022 4:00,0,1.25,0.01,99,0,8.7,13.4,1014,0
1/2/2022 4:15,0,1.25,0.34,99,0,8.8,12.6,1014,0
1/2/2022 4:30,0,1.25,0.33,99,0,8.9,12.8,1014,0
1/2/2022 4:45,0,1.25,0.06,99,0,8.9,12.7,1014,0
1/2/2022 5:00,0,1.25,0.37,98,0,9,12.2,1014,0
1/2/2022 5:15,99.1,1.25,0.58,97,0,9.2,11.5,1014,38
1/2/2022 5:30,89.3,1.25,0.38,97,0,10.1,11.1,1014,31
1/2/2022 5:45,273,1.25,0.47,97,0,9.7,11.3,1015,99
1/2/2022 6:00,363,1.25,0.71,95,0,10.2,11.1,1015,150
1/2/2022 6:15,673,1.24,0.57,92,0,12.2,6.7,1015,259
1/2/2022 6:30,617,1.24,0.51,89,0,11.1,11.1,1015,229
1/2/2022 6:45,536,1.24,0.41,93,0,12,8.8,1015,190
1/2/2022 7:00,950,1.24,0.14,86,0,12.2,6.6,1015,305
1/2/2022 7:15,1250,1.23,0.11,79,0,13.8,6.6,1015,402
1/2/2022 7:30,1600,1.23,0.13,80,0,14.1,6.5,1015,515
1/2/2022 7:45,1380,1.24,0.13,78,0,12.8,6.5,1015,442
1/2/2022 8:00,1710,1.23,0.04,77,0,14.4,6.4,1016,553
1/2/2022 8:15,1900,1.22,0.07,69,0,15.8,7.4,1015,616
1/2/2022 8:30,2050,1.22,0.05,72,0,16.5,7.8,1015,665
1/2/2022 8:45,2150,1.23,0.05,77,0,14.4,6.6,1015,695
1/2/2022 9:00,2340,1.22,0.08,67,0,16.6,8.4,1015,761
1/2/2022 9:15,2100,1.22,0.3,64,0,16.6,9.1,1015,713
1/2/2022 9:30,2290,1.22,0.19,64,0,17.7,9.8,1015,745
1/2/2022 9:45,2080,1.22,0.32,62,0,17,10.9,1015,715
1/2/2022 10:00,1660,1.21,0.6,59,0,17.9,11.9,1014,659
1/2/2022 10:15,1260,1.21,0.81,57,0,18.5,12.2,1014,559
1/2/2022 10:30,1390,1.21,0.83,58,0,18.1,12,1014,619
1/2/2022 10:45,1470,1.21,0.72,57,0,18.4,12.1,1014,625
1/2/2022 11:00,1240,1.21,0.88,55,0,18.6,12.2,1014,554
1/2/2022 11:15,1190,1.21,0.91,54,0,18.8,12.1,1014,528
1/2/2022 11:30,826,1.21,1,55,0,18.8,12.2,1014,368
1/2/2022 11:45,481,1.21,0.99,55,0,18.7,12.1,1014,214
1/2/2022 12:00,440,1.21,1,53,0,18.8,11.9,1014,196
1/2/2022 12:15,388,1.21,1,54,0,18.8,11.9,1014,173
1/2/2022 12:30,431,1.21,1,54,0,18.7,11.2,1014,192
1/2/2022 12:45,263,1.21,1,54,0,18.8,11.3,1014,117
1/2/2022 13:00,218,1.21,1,54,0,18.7,10.9,1014,97
1/2/2022 13:15,272,1.21,0.97,56,0,18.4,10.9,1014,121
1/2/2022 13:30,294,1.21,0.94,56,0,18.6,10.9,1014,131
1/2/2022 13:45,249,1.21,0.98,55,0,18.6,10.9,1014,111
1/2/2022 14:00,315,1.21,0.91,56,0,18.4,11.1,1014,140
1/2/2022 14:15,279,1.21,0.89,59,0,17.6,11.2,1014,124
1/2/2022 14:30,221,1.21,0.86,63,0,17.7,11.2,1014,98
1/2/2022 14:45,207,1.21,0.9,60,0,18.3,11.2,1014,92
1/2/2022 15:00,204,1.22,0.75,63,0,17.3,11.3,1014,88
1/2/2022 15:15,55.9,1.22,0.75,67,0,16.4,15,1015,24
1/2/2022 15:30,151,1.22,0.72,69,0,17.1,12.5,1015,64
1/2/2022 15:45,130,1.22,0.72,70,0,17.1,13.1,1014,55
1/2/2022 16:00,0,1.22,0.7,71,0,16,15.5,1015,0
1/2/2022 16:15,0,1.22,0.61,77,0,15.5,16.4,1015,0
1/2/2022 16:30,0,1.22,0.64,72,0,15.6,15.9,1015,0
1/2/2022 16:45,0,1.22,0.64,77,0,15.7,16,1015,0
1/2/2022 17:00,0,1.23,0.55,78,0,15.2,17.4,1015,0
1/2/2022 17:15,0,1.23,0.48,82,0,15.1,18.4,1016,0
1/2/2022 17:30,0,1.23,0.53,83,0,14.5,18.6,1016,0
1/2/2022 17:45,0,1.23,0.55,83,0,14.6,18.9,1016,0
1/2/2022 18:00,0,1.23,0.44,86,0,14.2,19.7,1016,0
1/2/2022 18:15,0,1.23,0.42,87,1,14.1,21,1016,0
1/2/2022 18:30,0,1.23,0.43,87,1,14.2,20.2,1016,0
1/2/2022 18:45,0,1.23,0.37,87,1,14,20.9,1016,0
1/2/2022 19:00,0,1.23,0.36,87,1,14,21.1,1016,0
1/2/2022 19:15,0,1.23,0.36,91,1,13.6,18.2,1016,0
1/2/2022 19:30,0,1.23,0.36,91,1,13.8,19.4,1016,0
1/2/2022 19:45,0,1.23,0.36,91,1,14,20.8,1016,0
1/2/2022 20:00,0,1.23,0.31,91,0,13.6,18,1016,0
1/2/2022 20:15,0,1.23,0.25,92,0,13.5,16.7,1016,0
1/2/2022 20:30,0,1.24,0.31,92,0,13,17.5,1016,0
1/2/2022 20:45,0,1.24,0.28,94,0,13,14.6,1016,0
1/2/2022 21:00,0,1.24,0.24,95,0,12.9,14.2,1016,0
1/2/2022 21:15,0,1.24,0.24,96,0,12.4,13.9,1016,0
1/2/2022 21:30,0,1.24,0.15,96,0,12.7,13.3,1016,0
1/2/2022 21:45,0,1.24,0.22,96,0,12.6,13.1,1016,0
1/2/2022 22:00,0,1.24,0.14,96,0,12.2,11.2,1016,0
1/2/2022 22:15,0,1.24,0.12,97,0,11.9,11.7,1016,0
1/2/2022 22:30,0,1.24,0.14,98,0,11.8,12,1016,0
1/2/2022 22:45,0,1.24,0.09,98,0,11.8,11.3,1016,0
1/2/2022 23:00,0,1.24,0.08,98,0,11.7,12.4,1016,0
1/2/2022 23:15,0,1.24,0.08,99,0,11.6,12.5,1016,0
1/2/2022 23:30,0,1.24,0.08,99,0,11.7,14.4,1016,0
1/2/2022 23:45,0,1.24,0.08,99,0,11.4,14.9,1016,0
1/3/2022 0:00,0,1.25,0.07,99,0,11,15,1016,0
1/3/2022 0:15,0,1.25,0.11,100,0,10.9,14.9,1016,0
1/3/2022 0:30,0,1.25,0.08,100,0,10.9,14.8,1016,0
1/3/2022 0:45,0,1.25,0.12,100,0,10.8,14.9,1016,0
1/3/2022 1:00,0,1.25,0.12,100,0,10.7,14.6,1016,0
1/3/2022 1:15,0,1.25,0.69,100,0,10.7,14,1016,0
1/3/2022 1:30,0,1.25,0.28,100,0,10.7,14.2,1016,0
1/3/2022 1:45,0,1.25,0.3,100,0,10.7,13.9,1016,0
1/3/2022 2:00,0,1.25,0.8,100,0,10.7,13.9,1016,0
1/3/2022 2:15,0,1.25,0.84,100,0,10.7,13.6,1016,0
1/3/2022 2:30,0,1.25,0.83,100,0,10.7,13.1,1016,0
1/3/2022 2:45,0,1.25,0.81,100,0,10.9,13.2,1016,0
1/3/2022 3:00,0,1.25,0.85,99,0,11,13,1016,0
1/3/2022 3:15,0,1.25,0.86,99,0,11,12.2,1016,0
1/3/2022 3:30,0,1.24,0.86,99,0,11.1,12.5,1016,0
1/3/2022 3:45,0,1.24,0.87,99,0,11.1,12.8,1016,0
1/3/2022 4:00,0,1.24,0.88,99,0,11.1,11.6,1016,0
1/3/2022 4:15,0,1.25,0.88,99,0,11,11.4,1017,0
1/3/2022 4:30,0,1.25,0.84,99,0,11.1,11.6,1017,0
1/3/2022 4:45,0,1.25,0.82,99,0,11,11.1,1017,0
1/3/2022 5:00,0,1.25,0.8,99,0,11,10.8,1017,0
1/3/2022 5:15,151,1.24,0.8,99,0,11.5,10.6,1017,66
1/3/2022 5:30,345,1.25,0.8,99,0,11.2,10.7,1017,151
1/3/2022 5:45,54.8,1.25,0.8,99,0,11.3,10.7,1017,24
1/3/2022 6:00,358,1.24,0.8,98,0,11.8,10.6,1018,157
1/3/2022 6:15,598,1.24,0.56,94,0,13.9,9.7,1018,230
1/3/2022 6:30,653,1.24,0.66,95,0,13.6,10.4,1018,265
1/3/2022 6:45,472,1.24,0.72,95,0,13.4,9.6,1018,198
1/3/2022 7:00,708,1.23,0.53,87,0,14.1,9.5,1018,268
1/3/2022 7:15,771,1.23,0.43,84,0,14.9,9.6,1018,278
1/3/2022 7:30,839,1.23,0.48,82,0,14.9,9.8,1018,310
1/3/2022 7:45,841,1.23,0.52,86,0,15.4,10.1,1018,318
1/3/2022 8:00,1080,1.23,0.39,79,0,15.8,10.4,1018,384
1/3/2022 8:15,1130,1.22,0.35,75,0,17.1,11.8,1018,394
1/3/2022 8:30,1270,1.23,0.36,77,0,16.3,11.4,1018,445
1/3/2022 8:45,1140,1.22,0.37,78,0,17,10.5,1018,402
1/3/2022 9:00,1390,1.22,0.33,69,0,17.5,12.1,1018,479
1/3/2022 9:15,1080,1.22,0.34,63,0,18,12.1,1018,375
1/3/2022 9:30,1270,1.22,0.35,66,0,17.6,11.7,1018,443
1/3/2022 9:45,1030,1.22,0.35,64,0,17.6,11.6,1018,358
1/3/2022 10:00,999,1.22,0.35,62,0,18.4,11.5,1018,349
1/3/2022 10:15,998,1.21,0.54,61,0,18.9,11.7,1018,384
1/3/2022 10:30,1260,1.21,0.38,60,0,19,12,1017,448
1/3/2022 10:45,1080,1.21,0.43,62,0,19.2,12.2,1017,393
1/3/2022 11:00,1240,1.21,0.55,56,0,19.3,12.5,1017,480
1/3/2022 11:15,1170,1.21,0.64,54,0,19.4,13,1017,476
1/3/2022 11:30,1120,1.21,0.67,56,0,19.4,12.7,1017,464
1/3/2022 11:45,1210,1.21,0.58,56,0,19.5,12.7,1017,477
1/3/2022 12:00,1020,1.21,0.67,53,0,19.5,13.2,1017,421
1/3/2022 12:15,945,1.21,0.67,53,0,19.6,13.4,1017,391
1/3/2022 12:30,901,1.21,0.67,52,0,19.6,13.5,1017,373
1/3/2022 12:45,940,1.21,0.67,52,0,19.6,13.4,1017,389
1/3/2022 13:00,868,1.21,0.66,51,0,19.6,13.8,1017,357
1/3/2022 13:15,910,1.21,0.64,52,0,19.3,13.9,1017,370
1/3/2022 13:30,882,1.21,0.63,52,0,19.6,13.9,1017,357
1/3/2022 13:45,876,1.21,0.65,52,0,19.4,13.9,1017,358
1/3/2022 14:00,930,1.21,0.61,52,0,19.3,14.1,1017,372
1/3/2022 14:15,724,1.21,0.53,55,0,18.9,14.6,1018,277
1/3/2022 14:30,872,1.22,0.48,55,0,18.6,14.5,1018,325
1/3/2022 14:45,633,1.21,0.56,53,0,18.7,14.7,1018,246
1/3/2022 15:00,562,1.22,0.42,57,0,18.3,14.8,1018,203
1/3/2022 15:15,205,1.22,0.47,62,0,18,16.7,1018,76
1/3/2022 15:30,356,1.22,0.46,59,0,18,16,1018,131
1/3/2022 15:45,353,1.22,0.48,59,0,16.9,16.6,1018,131
1/3/2022 16:00,0,1.22,0.48,64,0,16.9,16.8,1018,0
1/3/2022 16:15,0,1.22,0.48,65,0,16.6,17,1019,0
1/3/2022 16:30,0,1.22,0.47,68,0,16.6,18.3,1019,0
1/3/2022 16:45,0,1.22,0.47,68,0,16.9,17.1,1019,0
1/3/2022 17:00,0,1.23,0.41,69,0,16.2,18.6,1019,0
1/3/2022 17:15,0,1.23,0.39,71,0,15.9,19.4,1019,0
1/3/2022 17:30,0,1.23,0.32,72,0,15.5,19.4,1019,0
1/3/2022 17:45,0,1.23,0.38,73,0,15.6,19.1,1019,0
1/3/2022 18:00,0,1.23,0.26,74,0,15.3,19.5,1019,0
1/3/2022 18:15,0,1.23,0.26,76,0,15.3,19.5,1019,0
1/3/2022 18:30,0,1.23,0.23,75,0,15.2,19.5,1020,0
1/3/2022 18:45,0,1.23,0.22,75,0,15.2,19.5,1020,0
1/3/2022 19:00,0,1.23,0.21,77,0,14.9,19.5,1020,0
1/3/2022 19:15,0,1.23,0.22,80,0,14.8,18.2,1020,0
1/3/2022 19:30,0,1.24,0.23,79,0,14.3,18.7,1020,0
1/3/2022 19:45,0,1.23,0.22,79,0,14.6,18,1020,0
1/3/2022 20:00,0,1.24,0.25,81,0,14.1,17.9,1020,0
1/3/2022 20:15,0,1.24,0.29,84,0,13.6,17.5,1020,0
1/3/2022 20:30,0,1.24,0.26,83,0,13.7,17.5,1020,0
1/3/2022 20:45,0,1.24,0.28,84,0,14,15.7,1020,0
1/3/2022 21:00,0,1.24,0.29,85,0,13.5,15.6,1020,0
1/3/2022 21:15,0,1.24,0.28,88,0,13.4,14.3,1020,0
1/3/2022 21:30,0,1.24,0.29,86,0,13.3,15.4,1020,0
1/3/2022 21:45,0,1.24,0.29,87,0,12.9,15.2,1020,0
1/3/2022 22:00,0,1.24,0.27,89,0,12.8,14.2,1020,0
1/3/2022 22:15,0,1.24,0.3,91,0,12.4,13.7,1020,0
1/3/2022 22:30,0,1.24,0.29,90,0,12.7,12.8,1020,0
1/3/2022 22:45,0,1.24,0.3,91,0,12.4,12.7,1020,0
1/3/2022 23:00,0,1.25,0.3,91,0,12.2,12.1,1020,0
1/3/2022 23:15,0,1.25,0.36,93,0,12.1,10.9,1020,0
1/3/2022 23:30,0,1.25,0.36,92,0,12,11.6,1020,0
1/3/2022 23:45,0,1.25,0.34,92,0,12.1,11.4,1020,0
1/4/2022 0:00,0,1.25,0.36,93,0,11.5,10.6,1020,0
1/4/2022 0:15,0,1.25,0.37,94,0,11.3,10.1,1020,0
1/4/2022 0:30,0,1.25,0.38,94,0,11.4,10.4,1020,0
1/4/2022 0:45,0,1.25,0.38,94,0,11.4,10.3,1020,0
1/4/2022 1:00,0,1.25,0.38,94,0,11.1,9.4,1020,0
1/4/2022 1:15,0,1.25,0.37,95,0,10.7,10,1020,0
1/4/2022 1:30,0,1.25,0.35,96,0,10.9,10,1020,0
1/4/2022 1:45,0,1.25,0.32,95,0,10.9,9.7,1020,0
1/4/2022 2:00,0,1.25,0.3,96,0,10.7,10.3,1020,0
1/4/2022 2:15,0,1.25,0.28,97,0,10.5,11,1020,0
1/4/2022 2:30,0,1.25,0.3,97,0,10.6,10.8,1020,0
1/4/2022 2:45,0,1.25,0.28,97,0,10.6,11.1,1020,0
1/4/2022 3:00,0,1.25,0.27,97,0,10.2,12.6,1020,0
1/4/2022 3:15,0,1.25,0.26,98,0,10.2,13.5,1020,0
1/4/2022 3:30,0,1.25,0.26,98,0,10.1,13.1,1020,0
1/4/2022 3:45,0,1.25,0.27,98,0,10.1,13.3,1020,0
1/4/2022 4:00,0,1.25,0.22,98,0,10.1,13.8,1020,0
1/4/2022 4:15,0,1.25,0.23,98,0,10.1,14.2,1020,0
1/4/2022 4:30,0,1.26,0.25,98,0,10.1,14,1021,0
1/4/2022 4:45,0,1.26,0.25,98,0,10.1,14,1021,0
1/4/2022 5:00,0,1.26,0.25,98,0,10.1,14.2,1021,0
1/4/2022 5:15,518,1.25,0.23,97,0,11.2,14.2,1021,168
1/4/2022 5:30,110,1.25,0.24,98,0,11.2,14.2,1021,36
1/4/2022 5:45,25,1.25,0.2,96,0,10.5,14.2,1021,8
1/4/2022 6:00,778,1.25,0.13,95,0,11.2,14.2,1021,249
1/4/2022 6:15,942,1.24,0.14,93,0,12.8,13.8,1022,303
1/4/2022 6:30,926,1.24,0.14,85,0,13.3,14,1022,298
1/4/2022 6:45,1670,1.24,0.15,83,0,12.9,13,1022,536
1/4/2022 7:00,1670,1.24,0.16,82,0,13.6,10.7,1022,538
1/4/2022 7:15,1720,1.23,0.16,81,0,15.1,11.8,1022,556
1/4/2022 7:30,1980,1.23,0.16,78,0,15.3,10.8,1022,641
1/4/2022 7:45,1920,1.23,0.16,82,0,15.4,11.5,1023,622
1/4/2022 8:00,2010,1.23,0.16,69,0,15.9,11.8,1023,650
1/4/2022 8:15,2080,1.23,0.11,66,0,16.5,11.3,1023,675
1/4/2022 8:30,2340,1.23,0.14,59,0,16.8,11.5,1022,759
1/4/2022 8:45,2130,1.23,0.12,59,0,16,11.7,1023,689
1/4/2022 9:00,2430,1.23,0.1,57,0,17.1,11.3,1022,788
1/4/2022 9:15,2420,1.23,0.06,53,0,17.2,11.3,1022,787
1/4/2022 9:30,2430,1.23,0.07,57,0,17.3,11.3,1022,788
1/4/2022 9:45,2420,1.22,0.08,50,0,17.7,11.3,1022,787
1/4/2022 10:00,2410,1.22,0.04,49,0,18,11.2,1021,786
1/4/2022 10:15,2370,1.22,0.04,49,0,18.3,11.5,1021,772
1/4/2022 10:30,2400,1.22,0.04,45,0,18.4,11.2,1021,782
1/4/2022 10:45,2360,1.22,0.04,46,0,18.2,11.6,1021,770
1/4/2022 11:00,2340,1.22,0.04,43,0,18.7,11.7,1020,763
1/4/2022 11:15,2500,1.22,0.01,42,0,18.9,12.3,1020,815
1/4/2022 11:30,2450,1.22,0.02,43,0,18.9,11.8,1020,800
1/4/2022 11:45,2370,1.22,0.02,43,0,19,12.6,1020,774
1/4/2022 12:00,2570,1.22,0,41,0,19.1,13,1020,839
1/4/2022 12:15,2420,1.22,0.03,42,0,19,14.2,1020,791
1/4/2022 12:30,2430,1.22,0.01,42,0,19.1,14.3,1020,794
1/4/2022 12:45,2530,1.22,0.02,42,0,19.1,14,1020,826
1/4/2022 13:00,2410,1.22,0.03,42,0,19,14.3,1020,787
1/4/2022 13:15,2290,1.22,0.09,45,0,18.9,14.3,1020,747
1/4/2022 13:30,2020,1.22,0.09,45,0,18.8,14.5,1020,659
1/4/2022 13:45,2410,1.22,0.05,43,0,18.6,14.6,1020,786
1/4/2022 14:00,1860,1.22,0.14,45,0,18.4,15,1020,607
1/4/2022 14:15,1370,1.22,0.21,52,0,18.1,14.4,1020,447
1/4/2022 14:30,1380,1.22,0.16,50,0,17.2,15,1020,447
1/4/2022 14:45,1090,1.22,0.17,47,0,18.2,15,1020,355
1/4/2022 15:00,1000,1.22,0.23,52,0,17.1,14,1020,330
1/4/2022 15:15,389,1.23,0.22,53,0,16.2,14,1021,127
1/4/2022 15:30,726,1.23,0.22,60,0,16.2,14.1,1021,237
1/4/2022 15:45,341,1.23,0.21,54,0,16.9,14.1,1021,111
1/4/2022 16:00,0,1.23,0.18,60,0,15.7,14.1,1021,0
1/4/2022 16:15,0,1.23,0.13,61,0,15.1,13.6,1021,0
1/4/2022 16:30,0,1.23,0.12,64,0,15.3,13.5,1021,0
1/4/2022 16:45,0,1.24,0.12,67,0,14.8,14.1,1021,0
1/4/2022 17:00,0,1.24,0.11,67,0,14.7,13.5,1021,0
1/4/2022 17:15,0,1.24,0.14,70,0,14.3,13.2,1021,0
1/4/2022 17:30,0,1.24,0.13,68,0,14,13.5,1021,0
1/4/2022 17:45,0,1.24,0.18,68,0,14.1,13.3,1021,0
1/4/2022 18:00,0,1.24,0.18,73,0,13.9,13,1021,0
1/4/2022 18:15,0,1.24,0.18,74,0,13.9,13.5,1021,0
1/4/2022 18:30,0,1.24,0.17,74,0,13.9,13.1,1021,0
1/4/2022 18:45,0,1.24,0.17,74,0,13.9,13.2,1021,0
1/4/2022 19:00,0,1.24,0.15,74,0,13.9,13.7,1021,0
